iter	MultiClass
0	1.09499877
1	1.092044564
2	1.088814348
3	1.085124752
4	1.082664964
5	1.079443705
6	1.077316297
7	1.07441998
8	1.07091336
9	1.068120233
10	1.065705544
11	1.061334803
12	1.058864566
13	1.055233039
14	1.05250154
15	1.049404684
16	1.046075363
17	1.044138558
18	1.04072064
19	1.036676394
20	1.034706771
21	1.032528833
22	1.029103505
23	1.026617717
24	1.02452019
25	1.021976292
26	1.019293008
27	1.016709305
28	1.013802864
29	1.010648698
30	1.007592694
31	1.004767724
32	1.000089146
33	0.9982324207
34	0.9953331175
35	0.9925518769
36	0.9905810566
37	0.9876129445
38	0.985461281
39	0.9829869618
40	0.980256421
41	0.9779084924
42	0.9742908409
43	0.9712420665
44	0.9686292859
45	0.9676242426
46	0.9651770504
47	0.9621818318
48	0.9603490225
49	0.9586860868
50	0.9558604135
51	0.9529134503
52	0.9511459435
53	0.9495858908
54	0.9476990625
55	0.9459507077
56	0.9428443051
57	0.9405674384
58	0.9385002365
59	0.9362643721
60	0.9345973535
61	0.9329334674
62	0.930850271
63	0.9285552628
64	0.9253560018
65	0.9215838258
66	0.9199641579
67	0.9184598886
68	0.9161242502
69	0.9135650134
70	0.9111934615
71	0.9089071257
72	0.9051460059
73	0.9030800574
74	0.9006314491
75	0.8979067238
76	0.8956334502
77	0.8936405208
78	0.8907615729
79	0.8889732299
80	0.8844228575
81	0.8826365601
82	0.8806186101
83	0.8783473462
84	0.8764037353
85	0.8744445358
86	0.8716447404
87	0.8692871203
88	0.866692681
89	0.8646435948
90	0.8630005642
91	0.8613168637
92	0.8591093705
93	0.8568752782
94	0.8552095152
95	0.8529911576
96	0.8503341626
97	0.8488898987
98	0.8475746067
99	0.845464238
100	0.8432626012
101	0.8403044481
102	0.8373287318
103	0.8356493747
104	0.8342567968
105	0.8328708506
106	0.8304324691
107	0.8292390148
108	0.8266851957
109	0.8244005518
110	0.8223853931
111	0.8198753538
112	0.8181964716
113	0.815366514
114	0.8139047416
115	0.8114627702
116	0.8084641436
117	0.8062683909
118	0.8040636476
119	0.801023277
120	0.7997002083
121	0.7985613996
122	0.7967989189
123	0.7943178375
124	0.7920390228
125	0.7901534183
126	0.7884594167
127	0.7866580995
128	0.7843295673
129	0.78187828
130	0.7797717745
131	0.7783162355
132	0.7763150791
133	0.7739936056
134	0.7726313802
135	0.7708923216
136	0.7696730985
137	0.7681561195
138	0.7661688533
139	0.7640444483
140	0.7626528487
141	0.7606480035
142	0.7592344583
143	0.7576298386
144	0.7561384763
145	0.7547434505
146	0.7531979919
147	0.7516876074
148	0.7495178935
149	0.7478325329
150	0.7464667264
151	0.7451956723
152	0.7427500156
153	0.7405701892
154	0.739202331
155	0.737415169
156	0.7358947741
157	0.7342692137
158	0.73289692
159	0.7310012079
160	0.730071814
161	0.7287424339
162	0.7267159721
163	0.7256633914
164	0.7249896019
165	0.7236862266
166	0.7221285604
167	0.7201760156
168	0.7183453802
169	0.7170837864
170	0.7153848147
171	0.7144517467
172	0.7120210576
173	0.710442972
174	0.7088684038
175	0.7077770039
176	0.70626182
177	0.7039294013
178	0.7016574106
179	0.7004390281
180	0.6992380312
181	0.6969349774
182	0.6956774486
183	0.6939331613
184	0.6926035886
185	0.6909844565
186	0.6895343041
187	0.6882192267
188	0.6869810308
189	0.6854378017
190	0.6839014816
191	0.6820027021
192	0.6803075645
193	0.6785176383
194	0.6768509574
195	0.6751458874
196	0.6734548204
197	0.6711248303
198	0.6702028071
199	0.6684868976
200	0.667274693
201	0.6655231824
202	0.6639596342
203	0.6624003932
204	0.6608877376
205	0.6592377649
206	0.6578848623
207	0.6562833253
208	0.6553696644
209	0.654161411
210	0.6523532847
211	0.6504810025
212	0.6485167171
213	0.6467330085
214	0.6452780435
215	0.6428846494
216	0.6414273353
217	0.6400989465
218	0.6384346862
219	0.6372123857
220	0.6361802363
221	0.6342004854
222	0.632367688
223	0.6302067303
224	0.628571733
225	0.6266558123
226	0.6253628307
227	0.6235881655
228	0.6226254051
229	0.6210009971
230	0.6198051732
231	0.6187174233
232	0.6163052167
233	0.6153713434
234	0.6145033113
235	0.612791117
236	0.6113273423
237	0.6100475265
238	0.6090716269
239	0.6081116803
240	0.6072919156
241	0.6059815654
242	0.6044263177
243	0.6029332157
244	0.6013488569
245	0.600410804
246	0.5989384839
247	0.5973340714
248	0.5964090758
249	0.5945209288
250	0.5932302691
251	0.5918473199
252	0.5912139039
253	0.5896626769
254	0.5887003233
255	0.5880134755
256	0.5865691905
257	0.5850260603
258	0.5836102493
259	0.5825506075
260	0.581014662
261	0.5791301987
262	0.5784222339
263	0.5777095372
264	0.576126806
265	0.5750674341
266	0.5743284652
267	0.5730961053
268	0.5715412918
269	0.5702377266
270	0.5697527257
271	0.5687036411
272	0.5680142071
273	0.5668376897
274	0.5653259318
275	0.5646509114
276	0.5636281407
277	0.5618122911
278	0.5611433291
279	0.5597149088
280	0.5590769571
281	0.5578608935
282	0.5568722863
283	0.5558804562
284	0.55455414
285	0.5532270798
286	0.5512196111
287	0.5504223474
288	0.5489031361
289	0.5479260877
290	0.5472717924
291	0.5457890483
292	0.5442208992
293	0.5428535733
294	0.5416457579
295	0.5404991127
296	0.5396807126
297	0.5388370548
298	0.5377848958
299	0.5367558128
