iter	Passed	Remaining
0	5	1584
1	9	1345
2	13	1329
3	17	1277
4	20	1237
5	24	1218
6	28	1212
7	33	1224
8	37	1205
9	40	1187
10	45	1183
11	48	1170
12	52	1159
13	56	1153
14	60	1148
15	64	1144
16	68	1135
17	72	1134
18	76	1129
19	80	1122
20	83	1114
21	87	1108
22	92	1108
23	96	1106
24	101	1115
25	105	1111
26	110	1113
27	114	1112
28	119	1112
29	122	1105
30	127	1104
31	131	1103
32	135	1098
33	139	1094
34	144	1096
35	150	1100
36	154	1095
37	158	1093
38	163	1092
39	168	1094
40	172	1089
41	178	1098
42	183	1094
43	187	1088
44	192	1089
45	197	1092
46	201	1085
47	206	1081
48	211	1082
49	215	1076
50	219	1069
51	224	1071
52	229	1068
53	233	1063
54	240	1072
55	245	1071
56	250	1069
57	258	1078
58	263	1077
59	268	1074
60	273	1073
61	278	1070
62	286	1079
63	294	1084
64	298	1078
65	302	1072
66	307	1068
67	311	1061
68	314	1054
69	318	1047
70	322	1040
71	326	1033
72	330	1028
73	335	1023
74	338	1016
75	342	1009
76	346	1002
77	350	996
78	354	990
79	357	984
80	361	977
81	365	970
82	369	965
83	372	958
84	376	952
85	380	946
86	384	940
87	387	934
88	391	928
89	395	922
90	399	916
91	403	911
92	407	906
93	411	900
94	415	895
95	419	891
96	423	886
97	427	880
98	430	874
99	434	869
100	438	863
101	441	857
102	445	852
103	450	848
104	453	842
105	457	837
106	461	831
107	465	827
108	469	822
109	473	817
110	477	812
111	480	806
112	484	801
113	488	796
114	491	791
115	495	786
116	500	782
117	505	779
118	509	774
119	514	771
120	518	767
121	522	762
122	526	758
123	531	754
124	536	751
125	542	748
126	546	744
127	551	740
128	556	738
129	561	734
130	566	730
131	571	726
132	577	725
133	582	721
134	586	716
135	594	716
136	598	712
137	602	707
138	610	707
139	615	703
140	619	699
141	626	697
142	633	695
143	637	690
144	645	690
145	650	686
146	656	682
147	664	682
148	668	677
149	676	676
150	681	672
151	685	667
152	692	665
153	698	662
154	703	658
155	711	656
156	715	652
157	724	651
158	729	646
159	733	641
160	740	639
161	744	634
162	748	628
163	756	627
164	760	622
165	764	617
166	772	615
167	776	610
168	780	605
169	787	601
170	793	598
171	797	593
172	803	589
173	811	587
174	818	584
175	824	580
176	828	575
177	834	571
178	841	568
179	845	563
180	854	561
181	859	557
182	863	551
183	871	549
184	875	544
185	880	539
186	887	536
187	891	531
188	896	526
189	902	522
190	906	517
191	910	512
192	918	508
193	922	503
194	926	498
195	934	495
196	938	490
197	942	485
198	950	482
199	955	477
200	959	472
201	967	469
202	971	464
203	975	458
204	983	455
205	988	450
206	992	445
207	998	441
208	1003	436
209	1009	432
210	1017	429
211	1021	424
212	1029	420
213	1033	415
214	1037	410
215	1043	405
216	1048	401
217	1052	396
218	1058	391
219	1064	387
220	1069	382
221	1075	377
222	1081	373
223	1085	368
224	1093	364
225	1097	359
226	1103	354
227	1110	350
228	1114	345
229	1119	340
230	1126	336
231	1131	331
232	1135	326
233	1143	322
234	1147	317
235	1152	312
236	1159	308
237	1164	303
238	1168	298
239	1175	293
240	1180	288
241	1183	283
242	1192	279
243	1196	274
244	1200	269
245	1208	265
246	1212	260
247	1216	255
248	1222	250
249	1226	245
250	1229	240
251	1234	235
252	1238	230
253	1242	225
254	1246	219
255	1250	215
256	1254	209
257	1258	204
258	1262	199
259	1270	195
260	1277	190
261	1283	186
262	1288	181
263	1292	176
264	1297	171
265	1302	166
266	1307	161
267	1312	156
268	1318	151
269	1322	146
270	1327	142
271	1337	137
272	1342	132
273	1346	127
274	1350	122
275	1354	117
276	1358	112
277	1362	107
278	1366	102
279	1371	97
280	1376	93
281	1381	88
282	1387	83
283	1392	78
284	1396	73
285	1403	68
286	1408	63
287	1414	58
288	1421	54
289	1427	49
290	1434	44
291	1440	39
292	1445	34
293	1452	29
294	1457	24
295	1463	19
296	1470	14
297	1475	9
298	1484	4
299	1491	0
